PM2.5,PM10,O3,NO2,CO,SO2,AQI
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
48.57,95.68,30.84,21.69,0.89,9.16,118.0
